Year,zip,RatsN,new total,Old ratsN,,% change
21,10001,8981.178707,4707031.395,8632.37395,348.8047576,4%
21,10002,22917.49049,,22027.43697,890.0535195,4%
21,10003,20130.22814,,19348.42437,781.8037671,4%
21,10004,1548.479087,,1488.340336,60.13875132,4%
21,10005,1238.78327,,1190.672269,48.11100105,4%
21,10006,1548.479087,,1488.340336,60.13875132,4%
21,10007,1238.78327,,1190.672269,48.11100105,4%
21,10009,22298.09886,,21432.10084,865.998019,4%
21,10010,4335.741445,,4167.352941,168.3885037,4%
21,10011,23846.57795,,22920.44118,926.1367703,4%
21,10012,10219.96198,,9823.046218,396.9157587,4%
21,10013,15175.09506,,14585.73529,589.3597629,4%
21,10014,18891.44487,,18157.7521,733.6927661,4%
21,10016,13626.61597,,13097.39496,529.2210116,4%
21,10017,1548.479087,,1488.340336,60.13875132,4%
21,10018,2167.870722,,2083.676471,84.19425185,4%
21,10019,12697.52852,,12204.39076,493.1377608,4%
21,10020,NA,,0,#VALUE!,#VALUE!
21,10021,7123.003802,,6846.365546,276.6382561,4%
21,10022,6503.612167,,6251.029412,252.5827555,4%
21,10023,24465.96958,,23515.77731,950.1922708,4%
21,10024,43976.80608,,42268.86555,1707.940537,4%
21,10025,56674.3346,,54473.2563,2201.078298,4%
21,10026,36544.10646,,35124.83193,1419.274531,4%
21,10027,35615.01901,,34231.82773,1383.19128,4%
21,10028,30659.88593,,29469.13866,1190.747276,4%
21,10029,32208.36502,,30957.47899,1250.886027,4%
21,10030,17342.96578,,16669.41176,673.5540148,4%
21,10031,31588.97338,,30362.14286,1226.830527,4%
21,10032,23846.57795,,22920.44118,926.1367703,4%
21,10033,18891.44487,,18157.7521,733.6927661,4%
21,10034,14246.0076,,13692.73109,553.2765121,4%
21,10035,21059.31559,,20241.42857,817.8870179,4%
21,10036,12078.13688,,11609.05462,469.0822603,4%
21,10037,7123.003802,,6846.365546,276.6382561,4%
21,10038,6193.91635,,5953.361345,240.5550053,4%
21,10039,14246.0076,,13692.73109,553.2765121,4%
21,10040,10529.65779,,10120.71429,408.943509,4%
21,10044,309.6958175,,297.6680672,12.02775026,4%
21,10065,4955.13308,,4762.689076,192.4440042,4%
21,10069,309.6958175,,297.6680672,12.02775026,4%
21,10075,13007.22433,,12502.05882,505.1655111,4%
21,10128,22298.09886,,21432.10084,865.998019,4%
21,10162,NA,,0,#VALUE!,#VALUE!
21,10280,619.391635,,595.3361345,24.05550053,4%
21,10282,1548.479087,,1488.340336,60.13875132,4%
21,10301,47210.52632,,20539.09664,26671.42968,130%
21,10302,23947.36842,,10418.38235,13528.98607,130%
21,10303,14368.42105,,6251.029412,8117.391641,130%
21,10304,16421.05263,,7144.033613,9277.019018,130%
21,10305,25315.78947,,11013.71849,14302.07099,130%
21,10306,29421.05263,,12799.72689,16621.32574,130%
21,10307,4789.473684,,2083.676471,2705.797214,130%
21,10308,14368.42105,,6251.029412,8117.391641,130%
21,10309,11631.57895,,5060.357143,6571.221805,130%
21,10310,33526.31579,,14585.73529,18940.5805,130%
21,10312,45842.10526,,19943.7605,25898.34476,130%
21,10314,36263.15789,,15776.40756,20486.75033,130%
21,10451,16256.97674,,13097.39496,3159.581786,24%
21,10452,27341.27907,,22027.43697,5313.842095,24%
21,10453,39534.01163,,31850.48319,7683.528435,24%
21,10454,16256.97674,,13097.39496,3159.581786,24%
21,10455,25863.37209,,20836.76471,5026.607387,24%
21,10456,46184.59302,,37208.5084,8976.08462,24%
21,10457,45815.11628,,36910.84034,8904.275943,24%
21,10458,42489.82558,,34231.82773,8257.99785,24%
21,10459,29927.61628,,24111.11345,5816.502834,24%
21,10460,23277.03488,,18753.08824,4523.946648,24%
21,10461,11453.77907,,9227.710084,2226.068986,24%
21,10462,20690.69767,,16669.41176,4021.28591,24%
21,10463,20321.22093,,16371.7437,3949.477233,24%
21,10464,2216.860465,,1786.008403,430.8520618,24%
21,10465,8497.965116,,6846.365546,1651.59957,24%
21,10466,17365.40698,,13990.39916,3375.007817,24%
21,10467,50248.83721,,40482.85714,9765.980066,24%
21,10468,35100.2907,,28278.46639,6821.824311,24%
21,10469,22538.0814,,18157.7521,4380.329295,24%
21,10470,14409.59302,,11609.05462,2800.538401,24%
21,10471,3694.767442,,2976.680672,718.0867696,24%
21,10472,56529.94186,,45543.21429,10986.72757,24%
21,10473,14779.06977,,11906.72269,2872.347078,24%
21,10474,15518.02326,,12502.05882,3015.964432,24%
21,10475,1108.430233,,893.0042017,215.4260309,24%
21,11001,674.6987952,,297.6680672,377.030728,127%
21,11004,2698.795181,,1190.672269,1508.122912,127%
21,11040,674.6987952,,297.6680672,377.030728,127%
21,11101,35759.03614,,15776.40756,19982.62858,127%
21,11102,34409.63855,,15181.07143,19228.56713,127%
21,11103,29012.04819,,12799.72689,16212.3213,127%
21,11104,13493.9759,,5953.361345,7540.614559,127%
21,11105,34409.63855,,15181.07143,19228.56713,127%
21,11106,21590.36145,,9525.378151,12064.98329,127%
21,11201,32911.06719,,18157.7521,14753.31509,81%
21,11203,38845.8498,,21432.10084,17413.74896,81%
21,11204,16185.77075,,8930.042017,7255.728734,81%
21,11205,52873.51779,,29171.47059,23702.0472,81%
21,11206,75533.59684,,41673.52941,33860.06743,81%
21,11207,100891.3043,,55663.92857,45227.37578,81%
21,11208,59887.35178,,33041.15546,26846.19632,81%
21,11209,37766.79842,,20836.76471,16930.03371,81%
21,11210,20501.97628,,11311.38655,9190.58973,81%
21,11211,66361.66008,,36613.17227,29748.48781,81%
21,11212,42622.52964,,23515.77731,19106.75233,81%
21,11213,57729.24901,,31850.48319,25878.76582,81%
21,11214,31832.01581,,17562.41597,14269.59984,81%
21,11215,87403.16206,,48222.22689,39180.93516,81%
21,11216,171569.17,,94658.44538,76910.72458,81%
21,11217,55571.14625,,30659.81092,24911.33532,81%
21,11218,30752.96443,,16967.07983,13785.88459,81%
21,11219,38306.32411,,21134.43277,17171.89134,81%
21,11220,57189.72332,,31552.81513,25636.90819,81%
21,11221,176424.9012,,97337.45798,79087.4432,81%
21,11222,48557.31225,,26790.12605,21767.1862,81%
21,11223,18883.39921,,10418.38235,8465.016857,81%
21,11224,17264.82213,,9525.378151,7739.443983,81%
21,11225,39385.37549,,21729.76891,17655.60659,81%
21,11226,86324.11067,,47626.89076,38697.21992,81%
21,11228,8632.411067,,4762.689076,3869.721992,81%
21,11229,17264.82213,,9525.378151,7739.443983,81%
21,11230,24818.18182,,13692.73109,11125.45073,81%
21,11231,28055.33597,,15478.7395,12576.59647,81%
21,11232,34529.64427,,19050.7563,15478.88797,81%
21,11233,100891.3043,,55663.92857,45227.37578,81%
21,11234,26976.28458,,14883.40336,12092.88122,81%
21,11235,37227.27273,,20539.09664,16688.17609,81%
21,11236,30752.96443,,16967.07983,13785.88459,81%
21,11237,101430.83,,55961.59664,45469.2334,81%
21,11238,131104.7431,,72333.34034,58771.40275,81%
21,11239,1618.577075,,893.0042017,725.5728734,81%
21,11249,21041.50198,,11609.05462,9432.447354,81%
21,11354,18891.56627,,8334.705882,10556.86038,127%
21,11355,28337.3494,,12502.05882,15835.29057,127%
21,11356,10795.18072,,4762.689076,6032.491647,127%
21,11357,20240.96386,,8930.042017,11310.92184,127%
21,11358,12819.27711,,5655.693277,7163.583831,127%
21,11360,1349.39759,,595.3361345,754.0614559,127%
21,11361,18891.56627,,8334.705882,10556.86038,127%
21,11362,2024.096386,,893.0042017,1131.092184,127%
21,11364,3373.493976,,1488.340336,1885.15364,127%
21,11365,4722.891566,,2083.676471,2639.215096,127%
21,11366,3373.493976,,1488.340336,1885.15364,127%
21,11367,12144.57831,,5358.02521,6786.553103,127%
21,11368,58024.09639,,25599.45378,32424.6426,127%
21,11369,11469.87952,,5060.357143,6409.522375,127%
21,11370,7946.666667,,5060.357143,2886.309524,57%
21,11372,28337.3494,,12502.05882,15835.29057,127%
21,11373,46554.21687,,20539.09664,26015.12023,127%
21,11374,22939.75904,,10120.71429,12819.04475,127%
21,11375,12819.27711,,5655.693277,7163.583831,127%
21,11377,85686.74699,,37803.84454,47882.90245,127%
21,11378,22265.06024,,9823.046218,12442.01402,127%
21,11379,29686.74699,,13097.39496,16589.35203,127%
21,11385,107277.1084,,47329.22269,59947.88574,127%
21,11411,4722.891566,,2083.676471,2639.215096,127%
21,11412,15518.07229,,6846.365546,8671.706743,127%
21,11413,12819.27711,,5655.693277,7163.583831,127%
21,11414,18216.86747,,8037.037815,10179.82965,127%
21,11415,4722.891566,,2083.676471,2639.215096,127%
21,11416,7421.686747,,3274.348739,4147.338007,127%
21,11417,36433.73494,,16074.07563,20359.65931,127%
21,11418,12144.57831,,5358.02521,6786.553103,127%
21,11419,14843.37349,,6548.697479,8294.676015,127%
21,11420,25638.55422,,11311.38655,14327.16766,127%
21,11421,8771.084337,,3869.684874,4901.399463,127%
21,11422,6072.289157,,2679.012605,3393.276552,127%
21,11423,5397.590361,,2381.344538,3016.245824,127%
21,11426,4048.192771,,1786.008403,2262.184368,127%
21,11427,4722.891566,,2083.676471,2639.215096,127%
21,11428,1349.39759,,595.3361345,754.0614559,127%
21,11429,10120.48193,,4465.021008,5655.460919,127%
21,11432,26987.95181,,11906.72269,15081.22912,127%
21,11433,28337.3494,,12502.05882,15835.29057,127%
21,11434,26987.95181,,11906.72269,15081.22912,127%
21,11435,29012.04819,,12799.72689,16212.3213,127%
21,11436,14168.6747,,6251.029412,7917.645287,127%
21,11691,18216.86747,,8037.037815,10179.82965,127%
21,11692,4722.891566,,2083.676471,2639.215096,127%
21,11693,2698.795181,,1190.672269,1508.122912,127%
21,11694,7421.686747,,3274.348739,4147.338007,127%
